CIK,Company_Name,Filing_Year_End,Alignment_Similarity,Score_1_Fin,Score_1_Fin_Unbounded,Score_1_Text,Score_1_Text_Unbounded,Score_2_Fin_Velocity,Score_2_Fin_Directional,Score_2_Text_Velocity,Score_2_Text_Directional,Score_3_Decoupling_Distance,Score_3_Cosine_Dissimilarity,Score_3_Signed_Divergence
40545,GENERAL ELECTRIC CO,2021,0.6404,0.987,4.2728,0.5521,1.4321,0.0,0.0,0.0,0.0,0.848,0.3596,2.8406
40545,GENERAL ELECTRIC CO,2022,0.6082,0.9718,3.6866,0.5562,1.441,0.2078,-0.5862,0.0189,0.0088,0.8852,0.3918,2.2456
40570,GEE GROUP INC.,2021,0.5297,0.9589,3.3986,-0.8658,-1.4743,0.0,0.0,0.0,0.0,0.9698,0.4703,4.8729
40570,GEE GROUP INC.,2022,0.9035,0.8014,2.1539,-0.2897,0.0527,1.2038,-1.2447,1.1536,1.527,0.4394,0.0965,2.1012
40570,GEE GROUP INC.,2023,0.945,0.9278,2.9635,0.6163,1.5786,0.2213,0.8096,0.3098,1.5259,0.3316,0.055,1.3849
46250,HAWKINS INC,2020,0.9775,0.9512,3.2669,0.8394,2.3288,0.0,0.0,0.0,0.0,0.2122,0.0225,0.9381
46250,HAWKINS INC,2021,0.9744,0.9583,3.3862,0.8595,2.4373,0.0527,0.1193,0.0267,0.1084,0.2261,0.0256,0.949
46250,HAWKINS INC,2022,0.9806,0.9656,3.5334,0.8976,2.6898,0.0687,0.1472,0.057,0.2526,0.1969,0.0194,0.8436
46250,HAWKINS INC,2023,0.9854,0.9613,3.4448,0.9059,2.7558,0.0317,-0.0886,0.0205,0.066,0.1707,0.0146,0.6889
46619,HEICO CORP,2020,0.955,-0.2608,0.0995,0.5732,1.4784,0.0,0.0,0.0,0.0,0.3001,0.045,-1.3788
46619,HEICO CORP,2021,0.6745,-0.8786,-1.5542,0.4284,1.187,0.5798,-1.6538,0.0605,-0.2914,0.8068,0.3255,-2.7412
46619,HEICO CORP,2022,0.6534,-0.8814,-1.573,0.318,0.9942,0.054,-0.0187,0.0469,-0.1928,0.8325,0.3466,-2.5671
46619,HEICO CORP,2023,0.9764,0.8458,2.3617,0.5108,1.3458,1.0011,3.9347,0.0713,0.3517,0.2175,0.0236,1.0159
46765,"HELMERICH & PAYNE, INC.",2020,0.8841,0.9023,2.7267,0.7474,1.9504,0.0,0.0,0.0,0.0,0.4815,0.1159,0.7763
46765,"HELMERICH & PAYNE, INC.",2021,0.9489,0.9434,3.1526,0.8468,2.3671,0.1789,0.4259,0.1952,0.4166,0.3198,0.0511,0.7855
46765,"HELMERICH & PAYNE, INC.",2022,0.9934,0.9418,3.1304,0.8925,2.6509,0.0702,-0.0222,0.1998,0.2838,0.115,0.0066,0.4795
46765,"HELMERICH & PAYNE, INC.",2023,0.9896,0.9536,3.305,0.8991,2.7014,0.0408,0.1746,0.0628,0.0505,0.144,0.0104,0.6036
47217,HP INC,2020,0.4987,-0.838,-1.3217,0.9699,3.6366,0.0,0.0,0.0,0.0,1.0013,0.5013,-4.9583
47217,HP INC,2021,0.8989,0.7337,1.9052,0.969,3.614,0.6401,3.2269,0.0154,-0.0225,0.4496,0.1011,-1.7089
47217,HP INC,2022,0.9638,0.9102,2.7933,0.969,3.6143,0.1942,0.8882,0.0106,0.0003,0.269,0.0362,-0.821
47217,HP INC,2023,0.9313,0.8439,2.3517,0.9718,3.6859,0.0988,-0.4417,0.0207,0.0716,0.3707,0.0687,-1.3342
47518,"HILL-ROM HOLDINGS, INC.",2020,0.9904,0.9556,3.3388,0.9447,3.1695,0.0,0.0,0.0,0.0,0.1388,0.0096,0.1693
47518,"HILL-ROM HOLDINGS, INC.",2021,0.8425,0.9916,4.598,0.943,3.1471,0.5848,1.2592,0.0203,-0.0224,0.5612,0.1575,1.4509
49071,HUMANA INC,2021,0.9928,0.9532,3.299,0.9694,3.6233,0.0,0.0,0.0,0.0,0.1198,0.0072,-0.3243
49071,HUMANA INC,2022,0.9925,0.9524,3.2855,0.968,3.5901,0.0258,-0.0135,0.0155,-0.0332,0.1226,0.0075,-0.3046
49754,"DINE BRANDS GLOBAL, INC.",2020,0.9641,0.8898,2.6316,0.9623,3.4632,0.0,0.0,0.0,0.0,0.268,0.0359,-0.8315
49754,"DINE BRANDS GLOBAL, INC.",2021,0.7755,0.1559,0.7358,0.9588,3.3963,0.4939,-1.8959,0.02,-0.0669,0.6701,0.2245,-2.6605
49754,"DINE BRANDS GLOBAL, INC.",2022,0.9656,0.983,4.0703,0.9509,3.2621,0.7844,3.3346,0.0351,-0.1342,0.2621,0.0344,0.8083
49938,IMPERIAL OIL LTD,2022,0.8984,0.8984,2.6961,0.9843,4.1273,0.0,0.0,0.0,0.0,0.4508,0.1016,-1.4312
50471,PARK CITY GROUP INC,2020,0.5244,0.2174,0.8314,0.4484,1.224,0.0,0.0,0.0,0.0,0.9753,0.4756,-0.3927
50471,PARK CITY GROUP INC,2021,0.4716,0.8738,2.5237,-0.6031,-0.547,0.3686,1.6924,0.351,-1.771,1.0281,0.5284,3.0707
50493,INGLES MARKETS INC,2020,-0.1508,-0.8294,-1.2792,0.9833,4.0848,0.0,0.0,0.0,0.0,1.5171,1.1508,-5.364
50493,INGLES MARKETS INC,2021,0.958,0.9536,3.3054,0.9859,4.2102,1.5596,4.5846,0.0377,0.1255,0.29,0.042,-0.9049
50493,INGLES MARKETS INC,2022,0.9513,0.9597,3.4129,0.9882,4.3457,0.0366,0.1075,0.0404,0.1355,0.3121,0.0487,-0.9328
50493,INGLES MARKETS INC,2023,0.9417,0.9492,3.2357,0.9881,4.3365,0.043,-0.1772,0.0131,-0.0092,0.3414,0.0583,-1.1007
51143,INTERNATIONAL BUSINESS MACHINES CORP,2022,0.9355,0.9916,4.6032,0.9833,4.083,0.0,0.0,0.0,0.0,0.3592,0.0645,0.5202
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",2019,0.5941,0.9869,4.2635,0.9681,3.5924,0.0,0.0,0.0,0.0,0.901,0.4059,0.6712
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",2020,0.9941,0.9562,3.349,0.9627,3.4725,0.9831,-0.9146,0.0334,-0.1199,0.1086,0.0059,-0.1235
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",2021,0.9941,0.9535,3.3036,0.9565,3.3546,0.0213,-0.0454,0.0322,-0.1178,0.1082,0.0059,-0.0511
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",2022,0.9947,0.9465,3.195,0.952,3.2791,0.0245,-0.1085,0.0215,-0.0755,0.1028,0.0053,-0.084
52795,ANIXTER INTERNATIONAL INC,2019,0.9739,0.8462,2.3639,0.9144,2.8309,0.0,0.0,0.0,0.0,0.2286,0.0261,-0.467
52827,RAYONIER INC,2019,0.9879,0.9308,2.9965,0.8599,2.4396,0.0,0.0,0.0,0.0,0.1553,0.0121,0.5569
52827,RAYONIER INC,2020,0.9738,0.9607,3.4322,0.8457,2.3613,0.1242,0.4357,0.0203,-0.0784,0.2291,0.0262,1.0709
52827,RAYONIER INC,2021,0.9819,0.9298,2.9853,0.8417,2.3406,0.1532,-0.4469,0.0212,-0.0207,0.19,0.0181,0.6447
